campaign_id,seed,episode,protocol_branch,public_code_index_zero_based,public_code_index_one_based,selected_matching,centralized_matching,distributed_matching,centralized_stage_sequence,distributed_stage_sequence,accepted_stage_count,null_stage,stage_count,consensus_rounds_per_stage,consensus_round_instances,directed_proposal_transmissions,centralized_distributed_equal,all_agents_agree,all_tags_valid,discarded_invalid_tags,max_encoding_residual,resource_screen_retained_edges,resource_screen_nonbinding
TRAJ-MICRO-V1,12031,1,exploration_public_assignment,3,4,0-0;1-2;2-1,0-0;1-2;2-1,0-0;1-2;2-1,PUBLIC:0-0;1-2;2-1,PUBLIC:0-0;1-2;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,2,exploration_public_assignment,10,11,0-0;1-4;2-2,0-0;1-4;2-2,0-0;1-4;2-2,PUBLIC:0-0;1-4;2-2,PUBLIC:0-0;1-4;2-2,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,3,exploration_public_assignment,17,18,0-1;1-2;2-4,0-1;1-2;2-4,0-1;1-2;2-4,PUBLIC:0-1;1-2;2-4,PUBLIC:0-1;1-2;2-4,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,4,exploration_public_assignment,24,25,0-2;1-0;2-1,0-2;1-0;2-1,0-2;1-0;2-1,PUBLIC:0-2;1-0;2-1,PUBLIC:0-2;1-0;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,5,exploration_public_assignment,31,32,0-2;1-3;2-1,0-2;1-3;2-1,0-2;1-3;2-1,PUBLIC:0-2;1-3;2-1,PUBLIC:0-2;1-3;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,6,exploration_public_assignment,38,39,0-3;1-0;2-4,0-3;1-0;2-4,0-3;1-0;2-4,PUBLIC:0-3;1-0;2-4,PUBLIC:0-3;1-0;2-4,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,7,exploration_public_assignment,45,46,0-3;1-4;2-0,0-3;1-4;2-0,0-3;1-4;2-0,PUBLIC:0-3;1-4;2-0,PUBLIC:0-3;1-4;2-0,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,8,exploration_public_assignment,52,53,0-4;1-1;2-2,0-4;1-1;2-2,0-4;1-1;2-2,PUBLIC:0-4;1-1;2-2,PUBLIC:0-4;1-1;2-2,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,9,exploration_public_assignment,59,60,0-4;1-3;2-2,0-4;1-3;2-2,0-4;1-3;2-2,PUBLIC:0-4;1-3;2-2,PUBLIC:0-4;1-3;2-2,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,10,exploration_public_assignment,6,7,0-0;1-3;2-1,0-0;1-3;2-1,0-0;1-3;2-1,PUBLIC:0-0;1-3;2-1,PUBLIC:0-0;1-3;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,11,exploration_public_assignment,13,14,0-1;1-0;2-3,0-1;1-0;2-3,0-1;1-0;2-3,PUBLIC:0-1;1-0;2-3,PUBLIC:0-1;1-0;2-3,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,12,exploration_public_assignment,20,21,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,PUBLIC:0-1;1-3;2-4,PUBLIC:0-1;1-3;2-4,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,13,exploration_public_assignment,27,28,0-2;1-1;2-0,0-2;1-1;2-0,0-2;1-1;2-0,PUBLIC:0-2;1-1;2-0,PUBLIC:0-2;1-1;2-0,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,14,exploration_public_assignment,34,35,0-2;1-4;2-1,0-2;1-4;2-1,0-2;1-4;2-1,PUBLIC:0-2;1-4;2-1,PUBLIC:0-2;1-4;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,15,exploration_public_assignment,41,42,0-3;1-1;2-4,0-3;1-1;2-4,0-3;1-1;2-4,PUBLIC:0-3;1-1;2-4,PUBLIC:0-3;1-1;2-4,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,16,exploration_public_assignment,48,49,0-4;1-0;2-1,0-4;1-0;2-1,0-4;1-0;2-1,PUBLIC:0-4;1-0;2-1,PUBLIC:0-4;1-0;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,17,exploration_public_assignment,55,56,0-4;1-2;2-1,0-4;1-2;2-1,0-4;1-2;2-1,PUBLIC:0-4;1-2;2-1,PUBLIC:0-4;1-2;2-1,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,18,exploration_public_assignment,2,3,0-0;1-1;2-4,0-0;1-1;2-4,0-0;1-1;2-4,PUBLIC:0-0;1-1;2-4,PUBLIC:0-0;1-1;2-4,3,0,0,0,0,0,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,19,configured_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,0-1|2-2|1-3|NULL,0-1|2-2|1-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,19,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,0-1|1-3|2-2|NULL,0-1|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,20,configured_scale,,,0-0;1-2;2-1,0-0;1-2;2-1,0-0;1-2;2-1,1-2|2-1|0-0|NULL,1-2|2-1|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,20,zero_scale,,,0-0;1-2;2-1,0-0;1-2;2-1,0-0;1-2;2-1,1-2|0-0|2-1|NULL,1-2|0-0|2-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,21,configured_scale,,,0-2;1-1;2-0,0-2;1-1;2-0,0-2;1-1;2-0,1-1|2-0|0-2|NULL,1-1|2-0|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,21,zero_scale,,,0-2;1-1;2-3,0-2;1-1;2-3,0-2;1-1;2-3,1-1|0-2|2-3|NULL,1-1|0-2|2-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,22,configured_scale,,,0-4;1-3;2-2,0-4;1-3;2-2,0-4;1-3;2-2,0-4|1-3|2-2|NULL,0-4|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,22,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,0-1|1-3|2-2|NULL,0-1|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,23,configured_scale,,,0-1;1-2;2-4,0-1;1-2;2-4,0-1;1-2;2-4,2-4|0-1|1-2|NULL,2-4|0-1|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,23,zero_scale,,,0-1;1-2;2-4,0-1;1-2;2-4,0-1;1-2;2-4,0-1|1-2|2-4|NULL,0-1|1-2|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,24,configured_scale,,,0-0;1-4;2-3,0-0;1-4;2-3,0-0;1-4;2-3,0-0|2-3|1-4|NULL,0-0|2-3|1-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,24,zero_scale,,,0-0;1-1;2-3,0-0;1-1;2-3,0-0;1-1;2-3,0-0|1-1|2-3|NULL,0-0|1-1|2-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,25,configured_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,0-1|1-3|2-4|NULL,0-1|1-3|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,25,zero_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,0-1|1-0|2-4|NULL,0-1|1-0|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,26,configured_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|0-0|1-2|NULL,2-4|0-0|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,26,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,0-0|1-2|2-4|NULL,0-0|1-2|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,27,configured_scale,,,0-2;1-1;2-0,0-2;1-1;2-0,0-2;1-1;2-0,2-0|1-1|0-2|NULL,2-0|1-1|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,27,zero_scale,,,0-0;1-1;2-4,0-0;1-1;2-4,0-0;1-1;2-4,0-0|1-1|2-4|NULL,0-0|1-1|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,28,configured_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,2-4|0-1|1-0|NULL,2-4|0-1|1-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,28,zero_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,2-4|0-1|1-0|NULL,2-4|0-1|1-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,29,configured_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|0-0|1-2|NULL,2-4|0-0|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,29,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|0-0|1-2|NULL,2-4|0-0|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,30,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,2-4|1-3|0-0|NULL,2-4|1-3|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,30,zero_scale,,,0-0;1-4;2-3,0-0;1-4;2-3,0-0;1-4;2-3,2-3|1-4|0-0|NULL,2-3|1-4|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,31,configured_scale,,,0-4;1-3;2-2,0-4;1-3;2-2,0-4;1-3;2-2,0-4|1-3|2-2|NULL,0-4|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,31,zero_scale,,,0-4;1-3;2-2,0-4;1-3;2-2,0-4;1-3;2-2,1-3|0-4|2-2|NULL,1-3|0-4|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,32,configured_scale,,,0-3;1-2;2-1,0-3;1-2;2-1,0-3;1-2;2-1,0-3|1-2|2-1|NULL,0-3|1-2|2-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,32,zero_scale,,,0-0;1-2;2-1,0-0;1-2;2-1,0-0;1-2;2-1,1-2|0-0|2-1|NULL,1-2|0-0|2-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,33,configured_scale,,,0-4;1-2;2-0,0-4;1-2;2-0,0-4;1-2;2-0,2-0|1-2|0-4|NULL,2-0|1-2|0-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,33,zero_scale,,,0-2;1-1;2-0,0-2;1-1;2-0,0-2;1-1;2-0,0-2|1-1|2-0|NULL,0-2|1-1|2-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,34,configured_scale,,,0-4;1-3;2-0,0-4;1-3;2-0,0-4;1-3;2-0,0-4|1-3|2-0|NULL,0-4|1-3|2-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,34,zero_scale,,,0-4;1-3;2-2,0-4;1-3;2-2,0-4;1-3;2-2,0-4|1-3|2-2|NULL,0-4|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,35,configured_scale,,,0-3;1-2;2-1,0-3;1-2;2-1,0-3;1-2;2-1,0-3|1-2|2-1|NULL,0-3|1-2|2-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,35,zero_scale,,,0-3;1-2;2-1,0-3;1-2;2-1,0-3;1-2;2-1,0-3|1-2|2-1|NULL,0-3|1-2|2-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,36,configured_scale,,,0-4;1-2;2-0,0-4;1-2;2-0,0-4;1-2;2-0,0-4|1-2|2-0|NULL,0-4|1-2|2-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,36,zero_scale,,,0-2;1-1;2-3,0-2;1-1;2-3,0-2;1-1;2-3,0-2|1-1|2-3|NULL,0-2|1-1|2-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,37,configured_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,0-1|1-3|2-2|NULL,0-1|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,37,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,0-1|1-3|2-2|NULL,0-1|1-3|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,38,configured_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,0-0|1-2|2-4|NULL,0-0|1-2|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,38,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,0-0|1-2|2-4|NULL,0-0|1-2|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,39,configured_scale,,,0-2;1-1;2-4,0-2;1-1;2-4,0-2;1-1;2-4,0-2|2-4|1-1|NULL,0-2|2-4|1-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,39,zero_scale,,,0-2;1-1;2-4,0-2;1-1;2-4,0-2;1-1;2-4,0-2|2-4|1-1|NULL,0-2|2-4|1-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,40,configured_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,0-1|1-3|2-4|NULL,0-1|1-3|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,40,zero_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,0-1|1-3|2-4|NULL,0-1|1-3|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,41,configured_scale,,,0-3;1-2;2-4,0-3;1-2;2-4,0-3;1-2;2-4,1-2|0-3|2-4|NULL,1-2|0-3|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,41,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,1-2|0-0|2-4|NULL,1-2|0-0|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,42,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,1-3|0-0|2-4|NULL,1-3|0-0|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,42,zero_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,1-3|0-0|2-4|NULL,1-3|0-0|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,43,configured_scale,,,0-1;1-0;2-3,0-1;1-0;2-3,0-1;1-0;2-3,1-0|0-1|2-3|NULL,1-0|0-1|2-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,43,zero_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,1-0|0-1|2-4|NULL,1-0|0-1|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,44,configured_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,0-0|2-4|1-2|NULL,0-0|2-4|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,44,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,1-2|0-0|2-4|NULL,1-2|0-0|2-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,45,configured_scale,,,0-0;1-1;2-4,0-0;1-1;2-4,0-0;1-1;2-4,1-1|2-4|0-0|NULL,1-1|2-4|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,45,zero_scale,,,0-2;1-1;2-4,0-2;1-1;2-4,0-2;1-1;2-4,1-1|2-4|0-2|NULL,1-1|2-4|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,46,configured_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,1-0|2-4|0-1|NULL,1-0|2-4|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,46,zero_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,1-0|2-4|0-1|NULL,1-0|2-4|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,47,configured_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,2-4|1-3|0-1|NULL,2-4|1-3|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,47,zero_scale,,,0-3;1-2;2-4,0-3;1-2;2-4,0-3;1-2;2-4,2-4|1-2|0-3|NULL,2-4|1-2|0-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,48,configured_scale,,,0-4;1-2;2-0,0-4;1-2;2-0,0-4;1-2;2-0,2-0|1-2|0-4|NULL,2-0|1-2|0-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,48,zero_scale,,,0-3;1-2;2-4,0-3;1-2;2-4,0-3;1-2;2-4,2-4|1-2|0-3|NULL,2-4|1-2|0-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,49,configured_scale,,,0-1;1-0;2-4,0-1;1-0;2-4,0-1;1-0;2-4,2-4|1-0|0-1|NULL,2-4|1-0|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,49,zero_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,2-4|1-3|0-1|NULL,2-4|1-3|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,50,configured_scale,,,0-4;1-3;2-1,0-4;1-3;2-1,0-4;1-3;2-1,2-1|1-3|0-4|NULL,2-1|1-3|0-4|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,50,zero_scale,,,0-3;1-2;2-4,0-3;1-2;2-4,0-3;1-2;2-4,2-4|1-2|0-3|NULL,2-4|1-2|0-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,51,configured_scale,,,0-3;1-2;2-0,0-3;1-2;2-0,0-3;1-2;2-0,2-0|1-2|0-3|NULL,2-0|1-2|0-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,51,zero_scale,,,0-1;1-2;2-0,0-1;1-2;2-0,0-1;1-2;2-0,2-0|1-2|0-1|NULL,2-0|1-2|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,52,configured_scale,,,0-1;1-0;2-2,0-1;1-0;2-2,0-1;1-0;2-2,2-2|1-0|0-1|NULL,2-2|1-0|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,52,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,2-2|1-3|0-1|NULL,2-2|1-3|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,53,configured_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,2-4|0-1|1-3|NULL,2-4|0-1|1-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,53,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|1-2|0-0|NULL,2-4|1-2|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,54,configured_scale,,,0-0;1-2;2-3,0-0;1-2;2-3,0-0;1-2;2-3,2-3|0-0|1-2|NULL,2-3|0-0|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,54,zero_scale,,,0-1;1-2;2-3,0-1;1-2;2-3,0-1;1-2;2-3,2-3|0-1|1-2|NULL,2-3|0-1|1-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,55,configured_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,2-2|1-3|0-1|NULL,2-2|1-3|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,55,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,2-2|0-1|1-3|NULL,2-2|0-1|1-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,56,configured_scale,,,0-1;1-2;2-4,0-1;1-2;2-4,0-1;1-2;2-4,2-4|1-2|0-1|NULL,2-4|1-2|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,56,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|1-2|0-0|NULL,2-4|1-2|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,57,configured_scale,,,0-2;1-1;2-4,0-2;1-1;2-4,0-2;1-1;2-4,2-4|1-1|0-2|NULL,2-4|1-1|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,57,zero_scale,,,0-2;1-1;2-4,0-2;1-1;2-4,0-2;1-1;2-4,2-4|1-1|0-2|NULL,2-4|1-1|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,58,configured_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,2-4|0-1|1-3|NULL,2-4|0-1|1-3|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,58,zero_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,2-4|1-3|0-1|NULL,2-4|1-3|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,59,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,2-4|1-3|0-0|NULL,2-4|1-3|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,59,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|1-2|0-0|NULL,2-4|1-2|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,60,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,2-4|1-3|0-0|NULL,2-4|1-3|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,60,zero_scale,,,0-1;1-4;2-3,0-1;1-4;2-3,0-1;1-4;2-3,2-3|1-4|0-1|NULL,2-3|1-4|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,61,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,1-3|2-4|0-0|NULL,1-3|2-4|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,61,zero_scale,,,0-1;1-3;2-4,0-1;1-3;2-4,0-1;1-3;2-4,1-3|2-4|0-1|NULL,1-3|2-4|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,62,configured_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,2-4|1-2|0-0|NULL,2-4|1-2|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,62,zero_scale,,,0-0;1-2;2-4,0-0;1-2;2-4,0-0;1-2;2-4,1-2|2-4|0-0|NULL,1-2|2-4|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,63,configured_scale,,,0-2;1-4;2-0,0-2;1-4;2-0,0-2;1-4;2-0,1-4|2-0|0-2|NULL,1-4|2-0|0-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,63,zero_scale,,,0-1;1-2;2-0,0-1;1-2;2-0,0-1;1-2;2-0,1-2|2-0|0-1|NULL,1-2|2-0|0-1|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,64,configured_scale,,,0-0;1-3;2-4,0-0;1-3;2-4,0-0;1-3;2-4,1-3|2-4|0-0|NULL,1-3|2-4|0-0|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
TRAJ-MICRO-V1,12031,64,zero_scale,,,0-1;1-3;2-2,0-1;1-3;2-2,0-1;1-3;2-2,1-3|0-1|2-2|NULL,1-3|0-1|2-2|NULL,3,4,4,2,8,32,1,1,1,0,0.0,15,1
